1;1828.00;11.50;191.00;big
1;1967.00;12.15;287.00;big
2;2064.00;9.50;3014.00;big
2;1756.00;9.50;2990.00;big
3;2083.00;10.45;416.00;big
3;2166.00;9.73;305.00;big
4;2286.00;9.70;435.00;big
4;2370.00;12.23;502.00;big
5;2481.00;9.70;339.00;big
5;2373.00;10.50;350.00;big
6;2514.00;10.00;571.00;big
6;2499.00;10.07;461.00;big
7;2405.00;9.70;600.00;big
7;2496.00;11.70;678.00;big
8;2606.00;9.70;373.00;big
8;2681.00;11.20;475.00;big
9;2622.00;10.30;593.00;big
9;2719.00;9.70;552.00;big
10;2697.00;10.25;610.00;big
10;2635.00;9.90;686.00;big
11;2746.00;9.75;380.00;small
11;2828.00;9.70;396.00;small
12;2973.00;9.70;375.00;big
12;2890.00;9.70;393.00;big
13;2971.00;9.70;504.00;big
13;3099.00;9.98;483.00;big
14;2351.00;9.80;798.00;big
14;2388.00;10.78;741.00;big
15;2485.00;9.70;770.00;big
15;2477.00;9.75;840.00;big
16;2741.00;10.68;708.00;big
16;2756.00;10.60;610.00;big
17;2814.00;9.70;768.00;big
17;2819.00;10.43;709.00;big
18;3146.00;9.70;933.00;big
18;3022.00;9.70;950.00;big
19;3155.00;9.70;776.00;big
19;3039.00;9.70;795.00;big
20;2926.00;9.70;784.00;big
20;2914.00;9.70;892.00;big
21;2857.00;9.70;910.00;small
21;2832.00;9.70;918.00;small
22;2768.00;9.98;851.00;big
22;2706.00;9.80;790.00;big
23;2847.00;9.70;818.00;small
23;2871.00;9.70;858.00;small
24;2713.00;10.35;940.00;big
24;2644.00;10.48;921.00;big
25;2565.00;9.80;884.00;big
25;2601.00;9.70;814.00;big
26;2894.00;9.70;1013.00;big
26;2876.00;9.70;964.00;big
27;2757.00;10.30;914.00;small
27;2777.00;10.20;938.00;small
28;2793.00;9.70;1069.00;big
28;2810.00;9.73;981.00;big
29;2812.00;9.70;1199.00;big
29;2910.00;9.70;1109.00;big
30;2681.00;9.70;1026.00;big
30;2709.00;9.70;1123.00;big
31;2396.00;9.70;978.00;big
31;2369.00;11.35;885.00;big
32;2607.00;9.80;1029.00;big
32;2576.00;12.70;1134.00;big
33;2461.00;9.80;1129.00;big
33;2379.00;9.70;1112.00;big
34;2837.00;9.70;1300.00;big
34;2754.00;9.70;1323.00;big
35;2493.00;11.50;1036.00;big
35;2515.00;10.50;937.00;big
36;2290.00;16.18;1537.00;big
36;2357.00;9.73;1626.00;big
37;2388.00;11.78;1484.00;big
37;2432.00;11.50;1536.00;big
38;2558.00;10.35;1814.00;big
38;2514.00;9.90;1692.00;big
39;2573.00;11.05;1612.00;big
39;2631.00;10.20;1565.00;big
40;2563.00;12.57;1479.00;big
40;2701.00;11.78;1458.00;big
41;2413.00;10.25;1236.00;big
41;2373.00;9.70;1388.00;big
42;2033.00;12.32;1437.00;small
42;2085.00;11.88;1465.00;small
43;2545.00;11.78;1337.00;big
43;2634.00;9.80;1236.00;big
44;2898.00;9.70;549.00;small
44;2866.00;9.70;553.00;small
45;1939.00;9.70;679.00;big
45;1926.00;11.32;740.00;big
46;2133.00;10.53;847.00;big
46;2051.00;11.43;780.00;big
47;2273.00;11.88;951.00;big
47;2200.00;14.90;919.00;big
48;2198.00;12.50;1032.00;big
48;2134.00;12.32;990.00;big
49;2078.00;9.70;1147.00;big
49;2048.00;9.70;1179.00;big
50;2051.00;9.70;1042.00;big
50;2139.00;14.00;1099.00;big
51;2224.00;13.88;1101.00;big
51;2313.00;10.95;1056.00;big
52;2308.00;10.68;1097.00;small
52;2278.00;11.40;1138.00;small
53;2277.00;13.53;808.00;big
53;2219.00;12.15;836.00;big
54;2284.00;15.00;665.00;small
54;2333.00;10.00;633.00;small
55;2113.00;10.40;720.00;big
55;2035.00;10.03;694.00;big
56;2202.00;11.35;784.00;big
56;2234.00;14.70;687.00;big
57;2223.00;9.70;592.00;big
57;2149.00;10.12;635.00;big
58;2957.00;9.80;613.00;big
58;3037.00;9.70;670.00;big
59;2811.00;10.23;641.00;big
59;2878.00;9.80;679.00;big
60;2780.00;9.70;489.00;big
60;2865.00;10.85;496.00;big
61;2817.00;9.70;562.00;small
61;2863.00;9.75;603.00;small
62;2279.00;10.18;1967.00;small
62;2327.00;10.90;1969.00;small
63;1907.00;11.93;1986.00;big
63;1934.00;9.70;2186.00;big
64;2349.00;9.70;2783.00;big
64;2286.00;12.23;2724.00;big
65;2448.00;9.70;3001.00;big
65;2386.00;10.30;2930.00;big
66;2194.00;16.30;2709.00;big
66;2101.00;17.23;2745.00;big
67;2125.00;15.93;2571.00;big
67;1993.00;11.07;2512.00;big
68;2180.00;16.90;2394.00;big
