5;supply_node;1696.00;14.00;1167.00;4.72;0
5;supply_node;1684.00;13.80;1172.00;4.23;0
5;supply_node;1672.00;12.10;1178.00;2.27;0
5;supply_node;1710.00;9.70;1211.00;1.67;0
5;supply_node;1731.00;9.70;1225.00;5.20;0
5;supply_node;1694.00;9.70;1196.00;0.35;0
5;supply_node;1712.00;9.70;1197.00;1.95;0
5;supply_node;1674.00;9.80;1195.00;3.49;0
5;supply_node;1745.00;9.85;1210.00;3.72;0
5;supply_node;1680.00;9.70;1216.00;2.19;0
5;supply_node;1723.00;9.70;1214.00;0.33;0
5;supply_node;1704.00;9.80;1231.00;3.25;0
5;supply_node;1691.00;9.80;1228.00;2.48;0
5;supply_node;1716.00;9.70;1227.00;5.42;0
5;supply_node;1699.00;9.75;1221.00;2.02;0
5;supply_node;1694.00;9.70;1211.00;3.74;0
5;supply_node;1682.00;9.70;1205.00;5.15;0
5;supply_node;1704.00;9.70;1187.00;5.33;0
5;supply_node;1683.00;10.20;1188.00;1.99;0
5;supply_node;1694.00;10.20;1182.00;4.92;0
5;naval_base;1723.00;9.70;1204.00;1.03;11829
5;naval_base;1736.00;9.50;1215.00;0.61;11829
5;naval_base;1724.00;9.50;1200.00;-4.59;11829
5;naval_base;1745.00;9.70;1215.00;-3.93;10186
5;naval_base;1726.00;9.70;1209.00;0.64;11829
5;bunker;1698.00;15.50;1167.00;5.06;0
5;bunker;1688.00;13.90;1166.00;5.21;0
5;bunker;1669.00;10.90;1184.00;4.33;0
5;bunker;1709.00;9.70;1212.00;2.54;0
5;bunker;1729.00;9.70;1220.00;5.52;0
5;bunker;1700.00;9.70;1194.00;3.81;0
5;bunker;1703.00;9.70;1200.00;3.46;0
5;bunker;1674.00;10.20;1190.00;0.57;0
5;bunker;1746.00;9.95;1207.00;0.94;0
5;bunker;1688.00;9.70;1220.00;4.56;0
5;bunker;1725.00;9.70;1210.00;3.61;0
5;bunker;1706.00;9.70;1226.00;2.00;0
5;bunker;1694.00;9.80;1228.00;3.96;0
5;bunker;1722.00;9.70;1224.00;4.07;0
5;bunker;1703.00;9.73;1222.00;1.56;0
5;bunker;1700.00;9.70;1210.00;4.13;0
5;bunker;1679.00;9.70;1201.00;5.24;0
5;bunker;1704.00;9.75;1185.00;4.81;0
5;bunker;1678.00;10.20;1187.00;2.65;0
5;bunker;1697.00;9.75;1186.00;4.20;0
5;coastal_bunker;1716.00;9.70;1206.00;1.03;0
5;coastal_bunker;1738.00;9.70;1231.00;-4.57;0
5;coastal_bunker;1718.00;9.70;1198.00;-4.59;0
5;coastal_bunker;1747.00;9.70;1214.00;-3.93;0
5;coastal_bunker;1718.00;9.50;1208.00;0.64;0
4;supply_node;1577.00;9.70;1747.00;5.50;0
4;supply_node;1567.00;9.98;1710.00;4.21;0
